Card ID,Title,Name,Backstory,Category,Condition Description,Digital Challenges,Assistive Technologies,Design Considerations,AI Prompt,Clinical Examples,AI Prompt URL
24,Depression,Tariq,"Tariq, 30, South Asian, rents a room in a shared house. Starts financial tasks regularly but rarely finishes them, especially during low-motivation periods.",Mental Health,"Low energy, reduced motivation, and difficulty concentrating are not barriers to intent, they are barriers to completion. Long workflows, repetitive inputs, and high error costs create conditions where tasks are started but not finished. Streamlined flows, autosave, and plain encouraging language reduce the effort required to succeed.","Multi-page workflows, re-entry of previously submitted information, and interfaces with no visible sense of progress all increase the effort required to push through. For people with depression, the gap between intending to complete a task and actually finishing it is where design can help most.","Screen readers, text-to-speech, autofill and password managers","Reduce steps to the minimum needed. Use progress indicators to show visible momentum through a task. Use encouraging, non-shaming language in error messages and avoid patterns that require significant effort to recover from mistakes.","You are designing and building a digital product for people with depression. Review the interface and: Identify workflows requiring more steps than necessary. Implement autosave so sessions can be resumed without data loss. Show visible progress indicators throughout multi-step flows. Use plain, encouraging language that does not shame errors. Validate WCAG 2.2 AA compliance for 2.2.1, 3.3.1, and 3.3.7. Return: 1. Effort and motivation barriers 2. Progress and autosave patterns 3. Encouraging microcopy recommendations 4. Engineering fixes for streamlined, low-effort task completion","Major depressive disorder (MDD), persistent depressive disorder (dysthymia), postpartum depression",https://fyvr.net/prompts.html#depression
22,Panic Disorder,Devon,"Devon, 26, mixed race, lives with family while saving to move out. Avoids financial platforms that feel urgent or overwhelming, often abandoning tasks mid-session.",Mental Health,"A panic attack can occur without warning and end a session immediately. Interfaces that feel urgent, use alarming error language, or present too much information at once can trigger or escalate distress. Calm, predictable, and low-pressure design patterns create safer conditions for task completion.","Countdown timers, urgent warning messages, and high-density screens can escalate physical and psychological distress rapidly. People with panic disorder need interfaces that communicate without urgency, provide clear exits, and never make a user feel trapped or rushed into a decision.","Screen readers, keyboard navigation, focus mode browser extensions",Remove countdown timers and urgency-inducing language. Ensure every screen has a clearly visible way to exit or go back. Offer session extension before timeouts occur rather than ending the session abruptly without warning.,"You are designing and building a digital product for people with panic disorder. Review the interface and: Remove or replace countdown timers and urgency-inducing UI patterns. Ensure every screen has a clear, visible exit or back path. Use calm, measured language in all system messages. Provide session extension options before any timeout. Validate WCAG 2.2 AA compliance for 2.2.1, 2.2.4, and 3.3.4. Return: 1. Urgency and pressure trigger risks 2. Calm interaction and exit patterns 3. Microcopy tone improvements 4. Engineering fixes for low-pressure, escapable flows",Panic disorder with or without agoraphobia,https://fyvr.net/prompts.html#panic-disorder
25,Sobriety,Ray,"Ray, 47, Native American, lives in supported housing during recovery. Managing finances again after years away and needs calm, shame-free product experiences.",Mental Health,"Recovery from substance use intersects with digital access in ways that are often overlooked. Content that normalizes alcohol, financial stress triggers, or high-pressure decision environments can be destabilizing. Trauma-informed design, content sensitivity, and predictable low-stress interactions support users managing long-term recovery.","Financial products that surface debt reminders, overdue notices, or high-pressure upsell prompts without care can act as stress triggers. People in recovery need interfaces that communicate clearly and calmly, avoid shame-based language, and do not create urgency that feels impossible to manage.","Screen readers, keyboard navigation, content filtering tools","Apply trauma-informed design throughout. Deliver debt notices and overdue alerts using calm, constructive messaging without shame-based language. Give users meaningful control over when and how sensitive financial information is surfaced to them.","You are designing and building a digital product using trauma-informed design principles for people managing sobriety. Review the interface and: Identify shame-based, urgent, or high-pressure language around finances. Ensure debt notices and upsell prompts are delivered calmly. Avoid normalizing alcohol or substance use in content or imagery. Support user control over when sensitive financial information is surfaced. Reference Intuit trauma-informed design principles throughout. Return: 1. Stress trigger and shame language risks 2. Calm communication patterns 3. Content sensitivity recommendations 4. Engineering controls for user-managed sensitive content","Alcohol use disorder (in recovery), substance use disorder (in recovery)",https://fyvr.net/prompts.html#sobriety
15,ADHD,Julianna,"Julianna, 39, white, owns a small accessible farm with her partner. Manages a business with ADHD and relies on structured, low-distraction tools to stay on task.",Neurodiversity,"Sustaining attention through long, undifferentiated workflows is a genuine challenge, not a preference. Distracting animations, unclear progress, and interfaces that do not signal where to focus next create conditions where tasks are abandoned before completion, not from disinterest but from cognitive mismatch.","Autoplay media, cluttered layouts, and workflows without clear progress indicators compete for attention and fragment focus. Meeting transcripts and video transcripts allow people with ADHD to scan and re-read at their own pace rather than tracking linear audio. People with ADHD are more likely to lose their place, make impulsive errors, or abandon tasks when interfaces do not actively support orientation and momentum.","Text-to-speech, focus mode browser extensions, reminder apps",Reduce visual noise by limiting animations and autoplay media. Use progress indicators and clear step headings to orient users throughout a task. Autosave all work and make transcripts available for all video and meeting content.,"You are designing and building a digital product for people with ADHD. Review the interface and: Identify autoplay media and visual noise that compete for attention. Provide clear progress indicators showing current position and remaining steps. Ensure transcripts are available for all video and meeting content. Implement autosave so interrupted sessions can be resumed. Validate WCAG 2.2 AA compliance for 2.2.2, 2.4.6, and 3.3.1. Return: 1. Distraction and attention fragmentation risks 2. Focus and progress indicator patterns 3. Transcript and self-paced content recommendations 4. Engineering fixes for low-distraction, resumable workflows","ADHD predominantly inattentive presentation, ADHD predominantly hyperactive-impulsive presentation, combined presentation",https://fyvr.net/prompts.html#adhd
20,Autism Spectrum,Maya,"Maya, 28, South Asian, rents an apartment and works as a software engineer. An Autistic professional who values predictable, literal interfaces and dislikes unexpected UI changes.",Neurodiversity,"Autistic users may experience sensory input, social communication, and predictability differently. Unexpected UI changes, ambiguous language, sensory-heavy animations, and interactions requiring implicit social inference create friction that consistent, literal, and calm design can reduce.","Vague microcopy, sudden modal interruptions, autoplay animations, and interfaces that change layout without warning can cause significant distress. Autistic users often need to know exactly what will happen before taking an action, and design that withholds that clarity creates real barriers.","Screen readers, reduced motion OS settings, keyboard navigation","Use literal, unambiguous labels on all buttons and form fields. Avoid unexpected layout changes, modal interruptions, or autoplay. Provide clear advance notice before any action that changes the current screen or application state significantly.","You are designing and building a digital product for Autistic users. Review the interface and: Identify ambiguous labels, vague calls to action, and implied microcopy. Ensure every action clearly communicates what will happen before the user commits. Remove unexpected modal interruptions, layout shifts, and autoplay animations. Use literal, direct language and avoid idioms and metaphors. Validate WCAG 2.2 AA compliance for 2.2.2, 3.2.1, 3.2.2, and 3.3.2. Return: 1. Ambiguity, unpredictability, and sensory risks 2. Literal language and clear action patterns 3. Layout consistency and predictability improvements 4. Engineering fixes for warning-first, stable interfaces",Autism spectrum disorder (ASD),https://fyvr.net/prompts.html#bipolar-disorder
16,Dyslexia,Kwame,"Kwame, 17, Ghanaian British, lives with his family in social housing. Preparing to file his first tax return and struggles with dense text-heavy financial forms.",Neurodiversity,"Letter reversal, tracking difficulty, and slow decoding make dense text-heavy interfaces cognitively exhausting. Font choice, line spacing, plain language, and the ability to hear content read aloud reduce the effort required to extract meaning and complete tasks accurately.","Justified text, small fonts, dense paragraphs, and interfaces with no text-to-speech support increase reading load significantly. People with dyslexia may misread labels, skip instructions, or avoid text-heavy tasks entirely when design does not account for how they process written language.","Text-to-speech, screen readers, reading ruler browser extensions",Use left-aligned text with generous line height and letter spacing. Avoid justified text blocks. Support text-to-speech for all content including error messages and form labels. Break instructions into short paragraphs with clear headings.,"You are designing and building a digital product for people with dyslexia. Review the interface and: Identify justified text, small fonts, tight line spacing, and dense text blocks. Use left-aligned text, generous line height, and adequate letter spacing. Support text-to-speech for all content including labels and error messages. Break content into short paragraphs with clear headings. Validate WCAG 2.2 AA compliance for 1.4.4, 1.4.8, and 1.4.12. Return: 1. Typography and reading difficulty risks 2. Font, spacing, and layout improvements 3. Text-to-speech support patterns 4. Engineering fixes for dyslexia-friendly reading",Specific learning disorder with impairment in reading,https://fyvr.net/prompts.html#dyslexia
7,Acute Pain,Kim,"Kim, 43, Egyptian, rents an apartment. Living with a chronic pain condition that flares unpredictably, making short, efficient digital tasks essential on difficult days.",Physical,"Active pain disrupts focus, reduces tolerance for friction, and shortens the time available for a task. Interactions that require extended screen time, complex navigation, or repeated fine motor input become disproportionately difficult when pain is present and unpredictable.","Dense layouts, unclear navigation, and workflows requiring sustained fine motor control all increase difficulty when pain limits available attention and movement. People managing acute pain need to complete tasks quickly and accurately, with no tolerance for unnecessary steps or unclear instructions.","Voice control, keyboard navigation, switch access","Minimize the number of interactions required to complete each task. Use large, well-spaced touch targets and ensure full keyboard operability. Autosave all progress so sessions can be abandoned and resumed without any data loss.","You are designing and building a digital product for people managing acute pain. Review the interface and: Identify flows requiring sustained fine motor input or repeated actions. Minimize interactions required to complete each core task. Ensure all interactions are operable by keyboard or voice. Provide large, well-spaced touch targets. Validate WCAG 2.2 AA compliance for 2.1.1, 2.5.5, and 2.5.8. Return: 1. Fine motor and effort barriers 2. Task efficiency and input minimization patterns 3. Large target and keyboard navigation recommendations 4. Engineering fixes for low-effort interactions","Chronic pain conditions including fibromyalgia, complex regional pain syndrome (CRPS), back pain, neuropathic pain",https://fyvr.net/prompts.html#acute-pain
6,Chronic Fatigue,Nandita,"Nandita, 46, South Asian, owns her home and works part-time. Managing ME/CFS alongside her career and needs financial tools that require minimal energy to complete.",Physical,"Energy is not unlimited. Conditions like ME/CFS, multiple sclerosis, or lupus mean that a task requiring many steps, repetitive inputs, or high concentration can exhaust the available capacity for the day. Efficiency, autosave, and minimal required effort are not conveniences, they are access requirements.","Long multi-step workflows, the absence of autosave, and interfaces that require re-entering information after an error drain limited energy reserves quickly. For people with chronic fatigue, a session that ends unexpectedly often means the task does not get completed that day.","Voice control, keyboard navigation, autofill and password managers","Every workflow must be pausable and resumable across sessions. Use progress indicators to show remaining effort. Pre-fill known data, minimize required inputs, and never clear form data after a session timeout without prior warning.","You are designing and building a digital product for people with chronic fatigue conditions. Review the interface and: Identify workflows that cannot be paused, saved, and resumed across sessions. Implement autosave as a default throughout all multi-step tasks. Minimize required inputs by pre-filling known data. Avoid session timeouts that clear form data without warning. Validate WCAG 2.2 AA compliance for 2.2.1, 3.3.7, and 3.3.1. Return: 1. Energy and effort barrier risks 2. Autosave and session resumption patterns 3. Input minimization recommendations 4. Engineering fixes for energy-efficient, resumable workflows","Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS), multiple sclerosis, lupus, post-viral fatigue",https://fyvr.net/prompts.html#chronic-fatigue
4,Limited Dexterity,Hana,"Hana, 67, Japanese, lives in a retirement community. Managing rheumatoid arthritis that makes touchscreens and small targets difficult to use accurately.",Physical,"Tremors, reduced grip strength, or restricted hand movement make precise pointer control unreliable. Small click targets, drag-and-drop interactions, and time-limited actions create compounding barriers where a single missed input can force the entire task to restart.","Small touch targets, hover-only menus, and interactions that require steady, precise movement all create failure points. For people with limited dexterity, accidental activations and missed targets are frequent, and interfaces that offer no forgiveness or undo capability make errors costly.","Keyboard navigation, switch access, voice control",Meet minimum 44x44px touch target sizes on all interactive components. Remove drag-and-drop as a sole interaction method and provide button-based alternatives. Provide undo for all actions and eliminate hover-only menus throughout.,"You are designing and building a digital product for people with limited dexterity. Review the interface and: Identify touch targets smaller than 44x44px. Remove drag-and-drop as the only method for any interaction. Eliminate hover-only menus. Implement undo for all destructive actions. Validate WCAG 2.2 AA compliance for 2.5.5, 2.5.8, 2.2.1, and 2.5.2. Return: 1. Small target and precision interaction risks 2. Touch target sizing and spacing recommendations 3. Drag-and-drop alternative patterns 4. Engineering fixes for forgiving, error-tolerant input","Rheumatoid arthritis, Parkinson's disease, essential tremor, cerebral palsy",https://fyvr.net/prompts.html#limited-dexterity
3,Limb Loss,Victor,"Victor, 55, Ukranian, owns a home and runs a small landscaping business. Uses voice control and adaptive keyboards daily after losing his right hand in a combat injury.",Physical,"The absence of a limb reshapes every interaction with a keyboard, trackpad, or touchscreen. Workflows designed around two-handed input, standard mouse use, or precise pointer control may become unusable without voice input, switch access, or single-handed keyboard alternatives.","Multi-key shortcuts, drag-and-drop interactions, and interfaces requiring simultaneous inputs create hard stops for people with limb loss. When voice and keyboard alternatives are missing or untested, entire workflows become inaccessible regardless of motivation or technical ability.","Voice control, single-switch access, keyboard navigation",Ensure every interaction is operable by keyboard or voice alone. Replace drag-and-drop with button alternatives. Test all critical flows using a single input device and confirm that focus order is logical and complete throughout.,"You are designing and building a digital product for people with limb loss. Review the interface and: Identify multi-key shortcuts, two-handed gestures, and simultaneous input requirements. Ensure all tasks are fully operable by keyboard only or voice control alone. Replace drag-and-drop with keyboard-accessible alternatives. Test all critical flows using a single input device. Validate WCAG 2.2 AA compliance for 2.1.1, 2.1.2, 2.5.1, and 2.5.3. Return: 1. Multi-input and two-handed interaction risks 2. Single-input and voice navigation patterns 3. Switch access and keyboard-only flow recommendations 4. Engineering fixes for single-input operable interfaces","Traumatic amputation, congenital limb difference, diabetes-related amputation",https://fyvr.net/prompts.html#limb-loss
5,Paralysis,Isaiah,"Isaiah, 32, Black, lives in an accessible apartment with his partner. Uses switch access and eye tracking to manage his personal and small business finances independently.",Physical,"Full or partial paralysis requires complete reliance on alternative input methods such as eye tracking, switch access, voice control, or head pointer devices. Every interaction that assumes standard keyboard or pointer use becomes a hard barrier when those input paths are unavailable.","Interfaces built exclusively for mouse or touch input lock out people with paralysis entirely. Without keyboard operability, switch access support, and well-structured focus order, tasks that take seconds for others can take minutes or become impossible to complete at all.","Switch access, eye tracking, voice control",Test every flow using switch access and keyboard-only navigation. Use visible focus indicators so current position is always clear. Minimize the number of Tab stops required to reach primary actions on every screen.,"You are designing and building a digital product for people with paralysis who rely on eye tracking, switch access, or voice control. Review the interface and: Ensure every interaction is fully operable without a mouse or touchscreen. Verify logical, efficient focus order across all interactive elements. Test all flows using switch access simulation. Minimize the number of Tab stops required to reach critical actions. Validate WCAG 2.2 AA compliance for 2.1.1, 2.1.2, 2.4.3, 2.4.7, and 2.4.11. Return: 1. Mouse and touch dependency risks 2. Focus order and keyboard navigation patterns 3. Switch access and eye tracking recommendations 4. Engineering fixes for alternative-input operable interfaces","Spinal cord injury, ALS (amyotrophic lateral sclerosis), stroke-related hemiplegia, Guillain-Barré syndrome",https://fyvr.net/prompts.html#paralysis
14,Aphasia,Gloria,"Gloria, 64, Black, lives with her son after a stroke. Regaining independence in managing her finances and needs simplified language and icon-supported interfaces to navigate confidently.",Speech,"Aphasia affects the ability to produce, find, or organize language, often following stroke or brain injury. Reading dense instructions, composing text, or navigating language-heavy interfaces requires significantly more effort. Simplified language, icon reinforcement, and reduced text input demands directly support access.","Long error messages, complex form labels, and interfaces requiring typed free-text responses create significant friction. People with aphasia may understand what they want to do but struggle to find or produce the words required to do it within a standard interface.","AAC devices, symbol-based communication tools, text-to-speech",Supplement free-text inputs with structured dropdown or selection options where possible. Use short field labels with icon reinforcement. Never use open-ended text entry as the only way to complete a core task in the flow.,"You are designing and building a digital product for people with aphasia. Review the interface and: Identify free-text input fields and supplement with structured options where possible. Use short, simple sentences for all labels, instructions, and errors. Reinforce all text labels with icons. Support AAC device compatibility. Validate WCAG 2.2 AA compliance for 2.2.1, 3.1.3, 3.1.5, and 3.3.2. Return: 1. Language production and input barriers 2. Structured input alternative patterns 3. Icon reinforcement and plain language recommendations 4. Engineering fixes for low-text, AAC-compatible interactions","Broca's aphasia, global aphasia, stroke, or traumatic brain injury.",https://fyvr.net/prompts.html#aphasia
13,Speech Disability,Meena,"Meena, 24, Syrian, lives with their parents. Managing a stutter that affects voice recognition tools, requiring reliable text-based alternatives for all interactions.",Speech,"Stuttering, dysarthria, selective mutism, or other speech differences affect how reliably voice input is recognized. Interfaces that require spoken commands or voice verification as the only input path exclude anyone whose speech pattern falls outside the model's training data.","Voice authentication, speech-only input fields, and AI assistants that fail on non-standard speech patterns all create barriers. People with speech disabilities need text-based and keyboard alternatives for every voice-dependent interaction, without those alternatives being buried or harder to find.","AAC devices, keyboard navigation, text-based input alternatives",Provide a text or keyboard alternative for every voice-triggered interaction at equal visual prominence. Never use voice recognition as the sole authentication method. Ensure all voice features fail gracefully with an immediate non-voice fallback.,You are designing and building a digital product for people with speech disabilities. Review the interface and: Identify every voice-dependent interaction including authentication and commands. Provide a text or keyboard alternative for every voice interaction at equal prominence. Do not use voice recognition as the sole authentication method. Ensure AI assistants fail gracefully with a clear non-voice fallback. Validate WCAG 2.2 AA compliance for 2.1.1 and 3.3.2. Return: 1. Voice-only dependency risks 2. Text and keyboard alternative patterns 3. Authentication fallback recommendations 4. Engineering fixes for speech-independent task completion,"Stuttering, dysarthria, apraxia of speech, selective mutism, spasmodic dysphonia",https://fyvr.net/prompts.html#speech-disability
1,Blind,Lucy,"Lucy, 60, white, owns her home and runs her own consulting business. A Blind professional who navigates financial platforms daily using JAWS and a refreshable Braille display.",Visual,"Blind users navigate digital interfaces without any visual reference, requiring a completely non-visual mental model. Screen readers, keyboard navigation, and Braille displays translate structure into meaning but only when that structure is correctly coded and consistently maintained.","Unlabeled buttons, missing alt text, and illogical reading order make it impossible to understand or navigate a page. Many Blind users also prefer reviewing a transcript over listening to a video, as it allows faster navigation and skimming with a screen reader. When structure is visual-only, screen readers announce nothing useful, leaving Blind users unable to complete tasks independently or with confidence.","Screen readers, Braille displays, keyboard navigation",Use semantic HTML to expose correct roles and structure. Provide descriptive alt text for all images and icons. Ensure reading and focus order reflects visual layout intent and all functionality is fully keyboard operable.,"You are designing and building a digital product for Blind users who navigate entirely without visual reference. Review the interface and: Ensure every interactive element has a descriptive, meaningful accessible name. Provide alt text for all images, icons, and non-text content. Verify logical reading and focus order. Use semantic HTML so screen readers communicate structure correctly. Provide transcripts for all video and audio content. Validate WCAG 2.2 AA compliance for 1.1.1, 1.3.1, 2.1.1, 2.4.3, and 4.1.2. Return: 1. Screen reader and keyboard navigation barriers 2. Semantic structure and alt text recommendations 3. Focus order and ARIA implementation patterns 4. Engineering fixes for fully non-visual task completion","Retinitis pigmentosa, optic nerve damage, optic neuritis, Leber's hereditary optic neuropathy",https://fyvr.net/prompts.html#blind
35,Temporary Blindness,Amara,"Amara, 37, West African, owns her home with her husband. Recovering from laser eye surgery and using a screen reader independently for the first time to manage household finances.",Visual,"Post-surgery recovery, acute injury, or medical treatment can remove usable vision for days or weeks. This is often the first moment someone encounters a screen reader or keyboard-only navigation, making first-use clarity and learnability critical design requirements.","Encountering a screen reader for the first time while recovering from surgery is disorienting. Interfaces with poor semantic structure, inconsistent focus behavior, or no keyboard support create an immediate wall for people whose vision loss is new, urgent, and unplanned.","Screen readers, keyboard navigation, text-to-speech","Build correct heading hierarchy and landmark structure so screen reader navigation works from the first visit. Use standard, predictable interaction patterns so first-time screen reader users encounter learnable, consistent behavior throughout.","You are designing and building a digital product for people experiencing temporary blindness, many using a screen reader for the first time. Review the interface and: Ensure all tasks are completable by keyboard and screen reader without prior experience. Provide clear, consistent heading structure for screen reader navigation. Avoid custom interaction patterns that deviate from expected screen reader behavior. Test all critical flows using a screen reader in browse mode and forms mode. Validate WCAG 2.2 AA compliance for 1.3.1, 2.1.1, 2.4.3, 2.4.6, and 4.1.2. Return: 1. First-time screen reader experience barriers 2. Heading structure and keyboard navigation patterns 3. Onboarding recommendations for assistive technology 4. Engineering fixes for standard, predictable screen reader behavior","Post-surgical recovery (e.g. LASIK, cataract surgery), corneal abrasion, acute optic neuritis",https://fyvr.net/prompts.html#cataracts
8,Color Blindness,Brendan,"Brendan, 23, Irish American, rents a shared house with college roommates. Has red-green color blindness and frequently misreads financial status indicators that rely on color alone.",Visual,"When color is the only signal distinguishing success from error, or active from inactive, critical information disappears. Red-green confusion is most common, but all types of color vision deficiency require interfaces that use shape, label, and pattern alongside color.","Error states shown only in red, status indicators using color alone, and charts without patterns or labels all become meaningless. People with color blindness must guess at meaning that sighted users read instantly, increasing errors and task abandonment.","Color blindness simulator tools, high contrast mode, screen readers","Never use color as the only signal for status, error, or meaning. Add icons, text labels, or pattern fills alongside all color-coded indicators. Test all data visualizations using a color blindness simulation tool before release.","You are designing and building a digital product for people with color blindness. Review the interface and: Identify every instance where color is the sole means of conveying information. Add text labels, icons, or patterns alongside all color-coded status indicators. Test all data visualizations using a color blindness simulator. Check that links are distinguishable from body text by more than color alone. Validate WCAG 2.2 AA compliance for 1.4.1 and 1.4.3. Return: 1. Color-only information risks 2. Pattern, label, and icon alternative recommendations 3. Data visualization accessible color patterns 4. Engineering fixes for color-independent status communication","Deuteranopia (red-green), protanopia (red-green), tritanopia (blue-yellow), achromatopsia",https://fyvr.net/prompts.html#color-blindness
10,Cataracts,Harold,"Harold, 78, Black, lives in subsidized senior housing. Post-cataract surgery recovery has made screen glare and low contrast text temporarily painful and difficult to read.",Visual,"Clouded lenses scatter light and reduce contrast, making sharp, high-contrast content essential for legibility. Bright glare from white backgrounds can worsen visibility. Clear typography, adjustable display settings, and high-contrast modes directly reduce the daily friction of using digital products.","Low contrast text, thin fonts, and bright white backgrounds become painful or unreadable. People with cataracts often struggle to distinguish interface elements that appear clear to others, making reading, form completion, and navigation slower and more effortful than necessary.","High contrast mode, screen magnifiers, dark mode",Avoid pure white backgrounds and thin font weights. Support dark mode and high contrast modes. Ensure all text meets WCAG AA contrast ratios and provide a user-accessible high-contrast display option within the interface itself.,"You are designing and building a digital product for people with cataracts. Review the interface and: Identify text and UI elements below WCAG AA contrast thresholds. Avoid pure white backgrounds to reduce glare. Use bold, legible fonts at sufficient size with adequate line spacing. Provide a high-contrast mode and support dark mode. Validate WCAG 2.2 AA compliance for 1.4.3, 1.4.6, and 1.4.11. Return: 1. Contrast and glare risks 2. Typography and contrast improvement recommendations 3. High contrast and dark mode patterns 4. Engineering fixes for glare-reduced, high-legibility interfaces","Age-related cataracts, congenital cataracts, post-surgical recovery",https://fyvr.net/prompts.html#glaucoma
9,Glaucoma,Adaeze,"Adaeze, 61, Nigerian, owns their home and runs a catering business. Managing progressive peripheral vision loss and relies on centrally placed content to navigate financial tools.",Visual,"Peripheral vision loss narrows the usable field of view over time, often without early warning. Interfaces that place critical actions, labels, or alerts at the edges of the screen may be completely invisible, even when central vision remains functional.","Navigation menus, notifications, and action buttons positioned at screen edges fall outside the usable visual field. People with glaucoma may miss critical prompts entirely, leading to incomplete tasks, missed errors, and growing frustration with interfaces that assume full peripheral vision.","Screen magnifiers, screen readers, keyboard navigation","Place all critical alerts, errors, and calls to action in the central visual zone. Avoid edge-only notifications. Use inline alerts adjacent to triggering elements and ensure screen reader announcements duplicate all visual feedback.","You are designing and building a digital product for people with glaucoma who have reduced peripheral vision. Review the interface and: Identify critical actions and alerts positioned at screen edges. Move primary navigation and error indicators to the central visual zone. Ensure screen reader announcements provide access to peripherally placed content. Test critical flows by masking peripheral screen areas. Validate WCAG 2.2 AA compliance for 1.3.1, 1.4.3, and 4.1.3. Return: 1. Peripheral placement risks for critical content 2. Central zone layout and alert positioning recommendations 3. Screen reader announcement patterns 4. Engineering fixes for central-vision-friendly layout","Open-angle glaucoma, angle-closure glaucoma, normal-tension glaucoma",https://fyvr.net/prompts.html#low-vision
2,Low Vision,Mei,"Mei, 72, Chinese American, lives in a senior apartment community. Uses screen magnification and high contrast settings to manage her own finances with minimal assistance.",Visual,"For low vision users, text that is too small, too low in contrast, or that breaks apart when zoomed creates an immediate barrier. Magnification tools and display adjustments help, but only when layouts are designed to scale without losing content or alignment.","Layouts that reflow incorrectly at high zoom levels force horizontal scrolling and hide content. Fixed font sizes, low contrast text, and icons without labels make it difficult to read, orient, and interact without switching between tools constantly.","Screen magnifiers, high contrast mode, screen readers",Use relative font size units so typography scales with browser settings. Ensure all layouts reflow at 400% zoom without horizontal scrolling. Label all icons with visible text and support high contrast mode without content loss.,"You are designing and building a digital product for low vision users who rely on magnification, high contrast, and scalable text. Review the interface and: Ensure all layouts reflow correctly at 400% zoom without horizontal scrolling. Use relative units for font sizes so text scales with browser settings. Verify all text meets WCAG AA contrast ratios. Ensure all icons have visible text labels. Validate WCAG 2.2 AA compliance for 1.4.3, 1.4.4, 1.4.10, and 1.4.11. Return: 1. Zoom, reflow, and contrast risks 2. Scalable layout and text resizing patterns 3. Icon labeling and high contrast recommendations 4. Engineering fixes for magnification-compatible interfaces","Macular degeneration, diabetic retinopathy, albinism, optic atrophy",https://fyvr.net/prompts.html#temporary-blindness
34,Visual Field Loss,Soren,"Soren, 49, Danish American, rents an apartment and works as a freelance editor. Managing central vision loss that makes peripherally placed alerts and error messages easy to miss.",Visual,"Damage to the visual field, whether central, peripheral, or patchy, means content positioned outside the functional zone is missed entirely. Navigation, alerts, and form errors placed outside the central viewing area may never be seen, regardless of visual acuity.","Inline error messages, tooltips, and status updates that appear outside the functional visual zone go unnoticed. People with visual field loss may submit incorrect forms or miss critical feedback because the interface places information where they cannot reliably see it.","Screen readers, screen magnifiers, keyboard navigation","Place all error messages, form validation, and status feedback adjacent to the triggering element, never at screen edges. Use inline alerts and ensure screen reader announcements duplicate all visual feedback as a redundant access channel.","You are designing and building a digital product for people with visual field loss. Review the interface and: Identify error messages and status updates placed outside the central content area. Ensure all critical feedback is adjacent to the triggering element and announced by screen reader. Test all form validation to confirm errors appear in the user's likely focus zone. Avoid requiring users to scan the full screen to confirm a successful action. Validate WCAG 2.2 AA compliance for 1.3.1, 3.3.1, 3.3.3, and 4.1.3. Return: 1. Out-of-field content placement risks 2. Inline error and feedback positioning patterns 3. Screen reader announcement recommendations 4. Engineering fixes for field-loss-tolerant content placement","Hemianopia, quadrantanopia, scotoma, optic neuritis",https://fyvr.net/prompts.html#visual-field-loss